x,y,z,orientation,length,width,height
0,400,600,Y,200,200,100
0,600,600,Y,200,200,100
0,800,600,Y,200,200,100
0,1000,600,Y,200,200,100
0,1200,600,Y,200,200,100
0,1400,600,Y,200,200,100
0,1600,600,Y,200,200,100
0,1800,600,Y,200,200,100
0,2000,600,Y,200,200,100
0,2200,600,Y,200,200,100
0,2400,600,Y,200,200,100
0,2600,600,Y,200,200,100
0,2800,600,Y,200,200,100
0,3000,600,Y,200,200,100
0,3200,600,Y,200,200,100
0,3400,600,Y,200,200,100
0,3600,600,Y,200,200,100
0,3800,600,Y,200,200,100
0,4000,600,Y,200,200,100
0,4200,600,Y,200,100,100
4000,0,600,Y,200,200,100
4000,200,600,Y,200,200,100
4000,400,600,Y,200,200,100
4000,600,600,Y,200,200,100
4000,800,600,Y,200,200,100
4000,1000,600,Y,200,200,100
4000,1200,600,Y,200,200,100
4000,1400,600,Y,200,200,100
4000,1600,600,Y,200,200,100
4000,1800,600,Y,200,200,100
4000,2000,600,Y,200,200,100
4000,2200,600,Y,200,200,100
4000,2400,600,Y,200,200,100
4000,2600,600,Y,200,200,100
4000,2800,600,Y,200,200,100
4000,3000,600,Y,200,200,100
4000,3200,600,Y,200,200,100
4000,3400,600,Y,200,200,100
4000,3600,600,Y,200,200,100
4000,3800,600,Y,200,200,100
4000,4000,600,Y,200,200,100
4000,4200,600,Y,200,100,100
0,0,700,X,200,200,100
200,0,700,X,200,200,100
400,0,700,X,200,200,100
600,0,700,X,200,200,100
800,0,700,X,200,200,100
1000,0,700,X,200,200,100
1200,0,700,X,200,200,100
1400,0,700,X,200,200,100
1600,0,700,X,200,200,100
1800,0,700,X,200,200,100
2000,0,700,X,200,200,100
2200,0,700,X,200,200,100
2400,0,700,X,200,200,100
2600,0,700,X,200,200,100
2800,0,700,X,200,200,100
3000,0,700,X,200,200,100
3200,0,700,X,200,200,100
3400,0,700,X,200,200,100
3600,0,700,X,200,200,100
3800,0,700,X,200,200,100
4000,0,700,X,200,200,100
0,4100,700,X,200,200,100
200,4100,700,X,200,200,100
400,4100,700,X,200,200,100
600,4100,700,X,200,200,100
800,4100,700,X,200,200,100
1000,4100,700,X,200,200,100
1200,4100,700,X,200,200,100
1400,4100,700,X,200,200,100
1600,4100,700,X,200,200,100
1800,4100,700,X,200,200,100
2000,4100,700,X,200,200,100
2200,4100,700,X,200,200,100
2400,4100,700,X,200,200,100
2600,4100,700,X,200,200,100
2800,4100,700,X,200,200,100
3000,4100,700,X,200,200,100
3200,4100,700,X,200,200,100
3400,4100,700,X,200,200,100
3600,4100,700,X,200,200,100
3800,4100,700,X,200,200,100
4000,4100,700,X,200,200,100
0,0,700,Y,200,200,100
0,200,700,Y,200,200,100
0,400,700,Y,200,200,100
0,600,700,Y,200,200,100
0,800,700,Y,200,200,100
0,1000,700,Y,200,200,100
0,1200,700,Y,200,200,100
0,1400,700,Y,200,200,100
0,1600,700,Y,200,200,100
0,1800,700,Y,200,200,100
0,2000,700,Y,200,200,100
0,2200,700,Y,200,200,100
0,2400,700,Y,200,200,100
0,2600,700,Y,200,200,100
0,2800,700,Y,200,200,100
0,3000,700,Y,200,200,100
0,3200,700,Y,200,200,100
0,3400,700,Y,200,200,100
0,3600,700,Y,200,200,100
0,3800,700,Y,200,200,100
0,4000,700,Y,200,200,100
0,4200,700,Y,200,100,100
4000,0,700,Y,200,200,100
4000,200,700,Y,200,200,100
4000,400,700,Y,200,200,100
4000,600,700,Y,200,200,100
4000,800,700,Y,200,200,100
4000,1000,700,Y,200,200,100
4000,1200,700,Y,200,200,100
4000,1400,700,Y,200,200,100
4000,1600,700,Y,200,200,100
4000,1800,700,Y,200,200,100
4000,2000,700,Y,200,200,100
4000,2200,700,Y,200,200,100
4000,2400,700,Y,200,200,100
4000,2600,700,Y,200,200,100
4000,2800,700,Y,200,200,100
4000,3000,700,Y,200,200,100
4000,3200,700,Y,200,200,100
4000,3400,700,Y,200,200,100
4000,3600,700,Y,200,200,100
4000,3800,700,Y,200,200,100
4000,4000,700,Y,200,200,100
4000,4200,700,Y,200,100,100
0,0,800,X,200,200,100
200,0,800,X,200,200,100
400,0,800,X,200,200,100
600,0,800,X,200,200,100
800,0,800,X,200,200,100
1000,0,800,X,200,200,100
1200,0,800,X,200,200,100
1400,0,800,X,200,200,100
1600,0,800,X,200,200,100
1800,0,800,X,200,200,100
2000,0,800,X,200,200,100
2200,0,800,X,200,200,100
2400,0,800,X,200,200,100
2600,0,800,X,200,200,100
2800,0,800,X,200,200,100
3000,0,800,X,200,200,100
3200,0,800,X,200,200,100
3400,0,800,X,200,200,100
3600,0,800,X,200,200,100
3800,0,800,X,200,200,100
4000,0,800,X,200,200,100
0,4100,800,X,200,200,100
200,4100,800,X,200,200,100
400,4100,800,X,200,200,100
600,4100,800,X,200,200,100
800,4100,800,X,200,200,100
1000,4100,800,X,200,200,100
1200,4100,800,X,200,200,100
1400,4100,800,X,200,200,100
1600,4100,800,X,200,200,100
1800,4100,800,X,200,200,100
2000,4100,800,X,200,200,100
2200,4100,800,X,200,200,100
2400,4100,800,X,200,200,100
2600,4100,800,X,200,200,100
2800,4100,800,X,200,200,100
3000,4100,800,X,200,200,100
3200,4100,800,X,200,200,100
3400,4100,800,X,200,200,100
3600,4100,800,X,200,200,100
3800,4100,800,X,200,200,100
4000,4100,800,X,200,200,100
0,0,800,Y,200,200,100
0,200,800,Y,200,200,100
0,400,800,Y,200,200,100
0,600,800,Y,200,200,100
0,800,800,Y,200,200,100
0,1000,800,Y,200,200,100
0,1200,800,Y,200,200,100
0,1400,800,Y,200,200,100
0,1600,800,Y,200,200,100
0,1800,800,Y,200,200,100
0,2000,800,Y,200,200,100
0,2200,800,Y,200,200,100
0,2400,800,Y,200,200,100
0,2600,800,Y,200,200,100
0,2800,800,Y,200,200,100
0,3000,800,Y,200,200,100
0,3200,800,Y,200,200,100
0,3400,800,Y,200,200,100
0,3600,800,Y,200,200,100
0,3800,800,Y,200,200,100
0,4000,800,Y,200,200,100
0,4200,800,Y,200,100,100
4000,0,800,Y,200,200,100
4000,200,800,Y,200,200,100
4000,400,800,Y,200,200,100
4000,600,800,Y,200,200,100
4000,800,800,Y,200,200,100
4000,1000,800,Y,200,200,100
4000,1200,800,Y,200,200,100
4000,1400,800,Y,200,200,100
4000,1600,800,Y,200,200,100
4000,1800,800,Y,200,200,100
4000,2000,800,Y,200,200,100
4000,2200,800,Y,200,200,100
4000,2400,800,Y,200,200,100
4000,2600,800,Y,200,200,100
4000,2800,800,Y,200,200,100
4000,3000,800,Y,200,200,100
4000,3200,800,Y,200,200,100
4000,3400,800,Y,200,200,100
4000,3600,800,Y,200,200,100
4000,3800,800,Y,200,200,100
4000,4000,800,Y,200,200,100
4000,4200,800,Y,200,100,100
0,0,900,X,200,200,100
200,0,900,X,200,200,100
400,0,900,X,200,200,100
600,0,900,X,200,200,100
800,0,900,X,200,200,100
1000,0,900,X,200,200,100
1200,0,900,X,200,200,100
1400,0,900,X,200,200,100
1600,0,900,X,200,200,100
1800,0,900,X,200,200,100
2000,0,900,X,200,200,100
2200,0,900,X,200,200,100
2400,0,900,X,200,200,100
2600,0,900,X,200,200,100
2800,0,900,X,200,200,100
3000,0,900,X,200,200,100
3200,0,900,X,200,200,100
3400,0,900,X,200,200,100
3600,0,900,X,200,200,100
3800,0,900,X,200,200,100
4000,0,900,X,200,200,100
0,4100,900,X,200,200,100
200,4100,900,X,200,200,100
400,4100,900,X,200,200,100
600,4100,900,X,200,200,100
800,4100,900,X,200,200,100
1000,4100,900,X,200,200,100
1200,4100,900,X,200,200,100
1400,4100,900,X,200,200,100
1600,4100,900,X,200,200,100
1800,4100,900,X,200,200,100
2000,4100,900,X,200,200,100
2200,4100,900,X,200,200,100
2400,4100,900,X,200,200,100
2600,4100,900,X,200,200,100
2800,4100,900,X,200,200,100
3000,4100,900,X,200,200,100
3200,4100,900,X,200,200,100
3400,4100,900,X,200,200,100
3600,4100,900,X,200,200,100
3800,4100,900,X,200,200,100
4000,4100,900,X,200,200,100
0,0,900,Y,200,200,100
0,200,900,Y,200,200,100
0,400,900,Y,200,200,100
0,600,900,Y,200,200,100
0,800,900,Y,200,200,100
0,1000,900,Y,200,200,100
0,1200,900,Y,200,200,100
0,1400,900,Y,200,200,100
0,1600,900,Y,200,200,100
0,1800,900,Y,200,200,100
0,2000,900,Y,200,200,100
0,2200,900,Y,200,200,100
0,2400,900,Y,200,200,100
0,2600,900,Y,200,200,100
0,2800,900,Y,200,200,100
0,3000,900,Y,200,200,100
0,3200,900,Y,200,200,100
0,3400,900,Y,200,200,100
0,3600,900,Y,200,200,100
0,3800,900,Y,200,200,100
0,4000,900,Y,200,200,100
0,4200,900,Y,200,100,100
4000,0,900,Y,200,200,100
4000,200,900,Y,200,200,100
4000,400,900,Y,200,200,100
4000,600,900,Y,200,200,100
