x,y,z,orientation,length,width,height
800,1400,0,XY,200,100,100
1000,1400,0,XY,200,100,100
1200,1400,0,XY,200,100,100
1400,1400,0,XY,200,100,100
1600,1400,0,XY,200,100,100
1800,1400,0,XY,200,100,100
2000,1400,0,XY,200,100,100
2200,1400,0,XY,200,100,100
2400,1400,0,XY,200,100,100
2600,1400,0,XY,200,100,100
2800,1400,0,XY,200,100,100
3000,1400,0,XY,200,100,100
3200,1400,0,XY,200,100,100
3400,1400,0,XY,200,100,100
3600,1400,0,XY,200,100,100
3800,1400,0,XY,200,100,100
4000,1400,0,XY,200,100,100
0,1500,0,XY,200,100,100
200,1500,0,XY,200,100,100
400,1500,0,XY,200,100,100
600,1500,0,XY,200,100,100
800,1500,0,XY,200,100,100
1000,1500,0,XY,200,100,100
1200,1500,0,XY,200,100,100
1400,1500,0,XY,200,100,100
1600,1500,0,XY,200,100,100
1800,1500,0,XY,200,100,100
2000,1500,0,XY,200,100,100
2200,1500,0,XY,200,100,100
2400,1500,0,XY,200,100,100
2600,1500,0,XY,200,100,100
2800,1500,0,XY,200,100,100
3000,1500,0,XY,200,100,100
3200,1500,0,XY,200,100,100
3400,1500,0,XY,200,100,100
3600,1500,0,XY,200,100,100
3800,1500,0,XY,200,100,100
4000,1500,0,XY,200,100,100
0,1600,0,XY,200,100,100
200,1600,0,XY,200,100,100
400,1600,0,XY,200,100,100
600,1600,0,XY,200,100,100
800,1600,0,XY,200,100,100
1000,1600,0,XY,200,100,100
1200,1600,0,XY,200,100,100
1400,1600,0,XY,200,100,100
1600,1600,0,XY,200,100,100
1800,1600,0,XY,200,100,100
2000,1600,0,XY,200,100,100
2200,1600,0,XY,200,100,100
2400,1600,0,XY,200,100,100
2600,1600,0,XY,200,100,100
2800,1600,0,XY,200,100,100
3000,1600,0,XY,200,100,100
3200,1600,0,XY,200,100,100
3400,1600,0,XY,200,100,100
3600,1600,0,XY,200,100,100
3800,1600,0,XY,200,100,100
4000,1600,0,XY,200,100,100
0,1700,0,XY,200,100,100
200,1700,0,XY,200,100,100
400,1700,0,XY,200,100,100
600,1700,0,XY,200,100,100
800,1700,0,XY,200,100,100
1000,1700,0,XY,200,100,100
1200,1700,0,XY,200,100,100
1400,1700,0,XY,200,100,100
1600,1700,0,XY,200,100,100
1800,1700,0,XY,200,100,100
2000,1700,0,XY,200,100,100
2200,1700,0,XY,200,100,100
2400,1700,0,XY,200,100,100
2600,1700,0,XY,200,100,100
2800,1700,0,XY,200,100,100
3000,1700,0,XY,200,100,100
3200,1700,0,XY,200,100,100
3400,1700,0,XY,200,100,100
3600,1700,0,XY,200,100,100
3800,1700,0,XY,200,100,100
4000,1700,0,XY,200,100,100
0,1800,0,XY,200,100,100
200,1800,0,XY,200,100,100
400,1800,0,XY,200,100,100
600,1800,0,XY,200,100,100
800,1800,0,XY,200,100,100
1000,1800,0,XY,200,100,100
1200,1800,0,XY,200,100,100
1400,1800,0,XY,200,100,100
1600,1800,0,XY,200,100,100
1800,1800,0,XY,200,100,100
2000,1800,0,XY,200,100,100
2200,1800,0,XY,200,100,100
2400,1800,0,XY,200,100,100
2600,1800,0,XY,200,100,100
2800,1800,0,XY,200,100,100
3000,1800,0,XY,200,100,100
3200,1800,0,XY,200,100,100
3400,1800,0,XY,200,100,100
3600,1800,0,XY,200,100,100
3800,1800,0,XY,200,100,100
4000,1800,0,XY,200,100,100
0,1900,0,XY,200,100,100
200,1900,0,XY,200,100,100
400,1900,0,XY,200,100,100
600,1900,0,XY,200,100,100
800,1900,0,XY,200,100,100
1000,1900,0,XY,200,100,100
1200,1900,0,XY,200,100,100
